infobox_type	proposed_category	count	was_included	include_in_future
monument	other	2652	1	0
athletics_championships	other	2644	0	0
horseraces	other	2635	0	0
civil_conflict	event	2632	1	0
medical_condition	other	2631	0	0
canada_electoral_district	other	2631	0	0
rugby_team	other	2624	0	0
german_place	place	2603	1	0
legislation	other	2568	1	1
hurling_championship	other	2557	0	0
field_hockey_player	person	2511	1	0
short_story	artifact	2509	1	1
ship/service_record	artifact	2488	1	1
judge	person	2488	1	0
publisher	business	2460	1	0
prepared_food	other	2444	0	0
nascar_race_report	other	2440	0	0
skier	person	2406	1	0
train	artifact	2398	0	0
nfl_team_season	other	2333	0	0
un_resolution	other	2293	1	0
legislative_district	other	2289	0	0
library	place	2273	1	0
nascar_driver	person	2243	1	1
aircraft_occurrence	event	2170	1	0
military_structure	other	2158	1	0
french_subdivision	other	2144	0	0
medical_person	person	2143	1	0
mine	place	2121	1	0
model	person	2113	1	0
mobile_phone	artifact	2107	0	0
football_tournament	other	2105	0	0
deity	other	2090	1	0
holiday	other	2089	1	0
grand_prix_race_report	other	2084	0	0
radio_show	other	2074	1	0
korean_name	other	2073	1	0
russian_district	place	2067	1	0
brand	other	2061	1	0
game	other	2049	1	0
sailboat_specifications	artifact	2048	0	0
law_enforcement_agency	pol_mil_organization	2045	1	0
unesco_world_heritage_site	place	2043	1	0
surname	other	2036	1	0
games	other	2036	0	0
ncaa_basketball_conference_tournament	other	2032	0	0
speed_skater	other	2028	1	0
cemetery	place	2021	0	0
ice_hockey_team_season	other	2019	0	0
sssi	other	2015	1	0
protein_family	other	1955	0	0
nobility	other	1955	1	0
ice_hockey_biography	person	1930	1	0
mineral	other	1926	0	0
comedian	person	1922	1	0
serial_killer	person	1916	1	0
musical	artifact	1908	0	0
bishopstyles	other	1906	1	0
economist	person	1897	1	0
referendum	event	1893	1	0
sailor	person	1885	1	1
minor_league_baseball	other	1868	0	0
song_contest_national_year	other	1866	0	0
historic_building	place	1850	1	0
music_festival	other	1839	1	0
prison	place	1817	1	0
sport_governing_body	other	1776	0	0
portuguese_subdivision	other	1765	1	0
curling	other	1763	0	0
golf_tournament	other	1760	0	0
opera	artifact	1726	0	0
national_football_team	other	1711	1	0
motorcycle	artifact	1704	0	0
commonwealth_games_event	other	1704	0	0
sports_team	other	1687	0	0
union	other	1663	0	0
military_award	other	1656	1	0
hindu_temple	place	1654	1	0
film_festival	other	1643	0	0
anatomy	other	1641	0	0
social_media_personality	person	1640	1	0
musician_awards/customs	person	1635	0	0
