infobox_type	proposed_category	count	was_included	include_in_future
cemetery	place	604	0	0
football_league	other	600	0	0
basketball_league_season	other	593	0	0
rail_service	other	565	0	0
shopping_mall	place	556	1	0
saint	person	555	1	0
boxing_match	other	549	0	0
awards_list	other	537	1	0
hromada	other	524	0	0
russian_rural_locality	other	511	0	0
film_festival	other	508	0	0
grand_prix_race_report	other	508	0	0
medical_condition	other	507	0	0
racing_car	other	499	0	0
wildfire	event	499	0	0
earthquake	event	498	1	0
designation_list	other	497	1	0
football_tournament	other	493	0	0
golf_tournament	other	493	0	0
television_station	place	492	0	0
pandemic	event	490	1	0
games	other	486	0	0
russian_inhabited_locality	place	482	0	0
deity	other	479	1	0
southeast_asian_games_event	other	475	0	0
diplomatic_mission	pol_mil_organization	462	1	0
figure_skater	person	462	1	0
short_story	artifact	456	0	0
airline	business	455	0	0
train	artifact	453	0	0
radio_show	other	450	0	0
former_subdivision	pol_mil_organization	438	0	0
hindu_temple	place	436	1	0
name	other	435	0	0
library	place	423	0	0
youtuber	person	419	1	0
podcast	other	417	1	0
international_hockey_competition	other	411	0	0
country	pol_mil_organization	410	1	1
tournament	other	406	1	0
holiday	other	405	1	0
npb_player	person	399	0	0
actor	person	397	1	0
international_basketball_competition	other	396	0	0
cfl_biography	person	388	0	0
family	other	388	1	0
militant_organization	pol_mil_organization	379	1	1
football_country_season	pol_mil_organization	375	0	0
japanese	other	374	1	0
fivb_tournament	other	369	0	0
individual_golf_tournament	other	367	0	0
athlete	person	366	1	0
cricket_team	other	362	0	0
planet	other	359	0	0
rugby_team	other	357	0	0
international_handball_competition	other	357	0	0
fila_wrestling_event	other	348	0	0
world_games_event	other	344	0	0
baseball_team_season	other	343	0	0
sports_rivalry	other	343	0	0
musician_awards/customs	person	341	0	0
rugby_union_season	other	338	0	0
artifact	artifact	338	0	0
ice_hockey_team	other	334	0	0
skating_event	other	333	0	0
cycling_race	other	329	0	0
national_basketball_team	other	329	0	0
song_contest_national_year	other	328	0	0
volleyball_player	person	328	1	0
korean_film_name/auto	artifact	327	0	0
motorcycle	artifact	323	0	0
mine	place	323	0	0
police_officer	person	322	1	1
sport_governing_body	other	320	0	0
individual_snooker_tournament	other	318	0	0
comic_book_title	artifact	317	0	0
musical	artifact	317	1	0
ncaa_football_yearly_game	other	317	0	0
former_country	pol_mil_organization	315	1	0
ncaa_soccer_conference_tournament	other	314	0	0
sports_team	other	313	0	0
national_football_team	other	313	0	0
landform	place	312	0	0
chess_biography	person	309	1	0
single	other	307	0	0
treaty	other	302	1	0
lake	place	300	1	0
ecoregion	other	299	0	0
greek_dimos	other	298	0	0
record_label	business	298	1	0
model	person	298	1	0
comedian	person	297	1	0
law_enforcement_agency	pol_mil_organization	296	0	0
