infobox_type	count	was_included	include_in_future
spaceflight/dock	601	0	0
wrestling_team	600	0	0
international_basketball_competition	599	0	0
ethnonym	592	1	0
cricket_club_season	589	0	0
command_structure	579	0	0
spaceflight/ip	574	0	0
rugby_football_league_season	569	0	0
oil_field	566	0	0
ipa	565	0	0
greece_place	561	0	0
le_mans_driver	559	1	0
nycs	559	0	0
subdivision_type	556	1	0
rugby_league_football_competition	556	0	0
volleyball_club	555	0	0
sport	548	0	0
state_highway_system	544	0	0
brain	542	0	0
nonhuman_protein	541	0	0
grapheme	535	0	0
skating_event	528	0	0
hromada	527	0	0
rally	526	0	0
office_holder	522	1	1
xc_championships	521	0	0
comet	516	0	0
international_baseball_tournament	513	0	0
military_rank	511	0	0
sport_overview	510	0	0
solar_eclipse	504	0	0
windmill	500	0	0
grape_variety	499	0	0
fila_wrestling_event	495	0	0
tennis_grand_slam_events	494	0	0
currency	493	0	0
tennis_tournament_year	491	0	0
kibbutz	489	0	0
national_volleyball_team	489	0	0
rugby_tournament	486	0	0
region_symbols	484	1	0
card_game	481	1	0
document	477	1	0
tour_rugby	471	0	0
united_states_federal_proposed_legislation	465	0	0
mapframe	462	1	1
ncaa_soccer_conference_tournament	462	0	0
identity_document	456	0	0
squash_tournament	456	0	0
interventions	455	1	0
non-profit	455	1	1
cardinalstyles	451	1	0
wrc_driver	447	1	0
forest	440	0	0
tennis_circuit_season	438	0	0
legislative_session	435	0	0
court	433	0	0
cheese	430	0	0
atp_challenger_tournament	430	0	0
cpu	429	0	0
tram_network	428	0	0
number	426	0	0
biodatabase	415	0	0
rugby_sevens	412	0	0
dog_breed	411	0	0
indoor_american_football_team	411	0	0
basketball_club_season	410	0	0
urban_feature	409	1	0
top_level_domain	408	0	0
project	405	0	0
intangible_heritage	404	1	0
rowing_club	402	0	0
universiade_event	402	0	0
all-ireland_hurling	402	0	0
world_games_event	402	0	0
hereditary_title	401	1	0
comics_story_arc	400	0	0
single	397	0	0
song_contest	396	0	0
product	394	1	0
swimming_meet	394	0	0
administration	391	1	1
folk_tale	389	0	0
squash_championship	384	0	0
nebula	382	0	0
pro_hockey_team	381	0	0
laboratory	380	0	0
computing_device	378	0	0
uk_bus	378	0	0
cbb_team	377	0	0
double_wintersport_world_cup	376	0	0
given_name2	374	0	0
afl_club_season	371	0	0
egyptian_dignitary	370	1	0
cricket_tournament_main	369	1	0
occupation	368	1	0
national_hockey_team	367	0	0
mythical_creature	363	1	0
ncaa_conference_tournament	361	0	0
national_handball_team	361	0	0
pba_season	361	0	0
factory	354	1	0
record_charts	354	0	0
unicode_block	353	0	0
american_football_team	353	0	0
racecourse	348	0	0
cardinal_styles	346	1	0
religious_text	344	1	0
bone	341	0	0
named_horse	341	1	0
fire_department	340	1	1
cricket_series	340	0	0
economy	339	1	0
railway_depot	337	0	0
font	336	1	0
mandir	335	1	0
artery	333	0	0
roller_derby_league	332	0	0
nerve	330	0	0
photographic_lens	330	0	0
theatre_group	325	0	0
lgbt_rights	325	0	0
toy	321	0	0
cycling_team_season	319	0	0
lunar_eclipse	317	0	0
motor_racing_team	316	1	0
v8_supercar_race_report	316	0	0
basketball_game	315	0	0
fictional_location	313	1	0
film_or_theatre_festival	311	0	0
architectural_practice	310	1	0
ski_jumper	309	0	0
technology_standard	308	0	0
cycling_season	305	0	0
sailing_competition	305	1	0
basketball_tournament_season	303	0	0
mexican_federal_electoral_district	300	0	0
united_states_legislative_district	300	0	0
horse_breed	299	0	0
united_states_district_court_case	298	1	0
ncaa_ice_hockey_conference_tournament	298	0	0
rugby_league_season	297	0	0
exchange	296	0	0
shogi_professional	295	1	1
muscle	293	0	0
tennis_cup_team	293	0	0
engineering_career	289	1	1
crater_data	288	0	0
basketball_league	287	0	0
convention_center	284	0	0
coa_case	283	0	0
dance	282	0	0
castrum	282	1	0
england_and_wales_ward	279	0	0
royal_styles	278	1	1
housing_project	278	0	0
lacrosse_team_season	277	0	0
wrestling_promotion	276	0	0
open_cluster	269	0	0
egyptian_tomb	267	0	0
unit	266	0	0
field_hockey_club	266	0	0
vehicle_registration_plate	265	0	0
manuscript	262	1	0
nascar_team	260	1	0
pipeline	257	0	0
youtube_personality	256	1	1
wrestling_ppv_series	254	0	0
basketball_final_four	253	0	0
place_demographics	250	0	0
peer	249	1	1
central_committee_outline	248	0	0
vein	247	0	0
national_futsal_team	247	0	0
continental_football	242	0	0
dogbreed	240	0	0
radio_network	240	0	0
seamount	239	0	0
american_championship_car_race_report	238	0	0
world's_fair	237	0	0
spring	235	1	0
cattle_breed	234	0	0
census	234	0	0
gaa_tournament	233	0	0
yacht_club	232	1	0
athletics_competition	232	0	0
comics_meta_series	230	0	0
poultry_breed	230	0	0
motocross_rider	228	0	0
electric_vehicle	225	0	0
national_olympic_committee	223	0	0
caste	222	0	0
choir	220	0	0
national_rugby_team	219	0	0
ncaa_basketball_tournament	219	0	0
bach_composition	216	0	0
australian_rules_football_match	216	0	0
national_field_hockey_team	215	0	0
gaa_league	215	0	0
hockey_tournament_season	214	0	0
meteorite	210	0	0
gridiron_football_team_season	209	0	0
central_bank	208	0	0
cycling_path	208	0	0
concentration_camp	207	0	0
team_golf_tournament	207	0	0
u.s._courts_of_appeals_case	205	0	0
summit	205	0	0
gaa_championship_main	204	0	0
constitution	203	0	0
kangxi_radical	202	0	0
speedway_league_season	201	0	0
rocket_engine	200	0	0
football_derby	200	0	0
ice_hockey_game	200	0	0
sheep_breed	199	0	0
rugby_world_sevens	196	0	0
parapan_american_games_event	196	0	0
power_transmission_line	195	0	0
itf_women's_circuit_tournament	194	0	0
medieval_text	193	0	0
polyhedron	190	0	0
tree	190	0	0
skyscraper	190	0	0
examination	188	0	0
launch_pad/pad	187	1	0
embryology	186	0	0
heritage_railway	186	0	0
place	186	0	0
curling_event	183	0	0
canadian_football_game	183	0	0
national_baseball_team	183	0	0
ligament	182	0	0
cvg	182	0	0
rugby_league_football_match	181	0	0
ncaa_baseball_tournament	181	0	0
spaceflight/instruments	180	0	0
haplogroup	180	0	0
national_sports_federations	180	0	0
ncaa_softball_conference_tournament	179	0	0
network_service_provider	178	1	0
pier	177	0	0
clothing_type	175	0	0
emblem	174	1	1
operational_plan	174	1	0
national_badminton_team	174	0	0
character_encoding	173	0	0
district_de	173	0	0
geographical_indication	173	0	0
ncaa_ice_hockey_season	173	0	0
youtube_channel	172	1	0
german_district	172	0	0
pinball	172	0	0
six_nations_championship_2	171	0	0
nutritional_value	170	0	0
trail	170	0	0
scc	170	0	0
chess_opening	168	0	0
skyline	167	0	0
military_gear	167	0	0
rugby_league_international_tournament	164	0	0
coat_of_arms_wide	162	1	1
rugby_football_league_challenge_cup	162	0	0
winter_sport_world_cup	162	0	0
am	161	1	0
speedway_grand_prix_event	161	0	0
monarchy	159	1	0
drug_class	158	0	0
arabic_name	158	1	1
research_institute	157	0	0
rugby_league_representative_team	157	0	0
eu_legislation	156	0	0
festival	156	0	0
native_american_leader	156	1	0
trolleybus_system	156	0	0
element/symbol-to-name	155	0	0
waterlock	155	0	0
globular_cluster	154	0	0
sailing_yacht	154	0	0
fictional_race	152	1	0
oil_refinery	152	0	0
water_transit	151	0	0
state_representative	151	1	0
filmography_list	151	1	0
ncaa_ice_hockey_tournament	151	0	0
former_monarchy	150	1	0
football_association	150	0	0
retail_market	148	0	0
united_states_elections	148	0	0
programming_block	147	0	0
uk_transmitter	147	0	0
bibliographic_database	146	0	0
ragam	145	0	0
sports_club	144	0	0
online_service	143	0	0
football_all-ireland	143	0	0
limited_overs_final	143	0	0
european_rugby_cup_season	143	0	0
gp2_round_report	142	0	0
national_political_convention	141	0	0
fault	141	0	0
electronic_payment	141	0	0
italian_frazione	141	0	0
political_system	140	0	0
pre-modern_nfl_team	140	0	0
encyclical	139	0	0
snooker_tournament	139	0	0
scottish_distillery	139	0	0
athletics_club	139	0	0
hurling_all-ireland	139	0	0
cinema_market	138	0	0
pba_conference	138	0	0
graph	137	0	0
typeface	137	0	0
fbi_ten_most_wanted	137	1	0
stage_production	137	0	0
novel_series	137	0	0
cell	136	0	0
archives	135	0	0
roller_coaster_extend	135	0	0
superbike_race_report	135	0	0
pba_conference_finals	133	0	0
polishcoa	132	0	0
ncaa_division_i_men's_basketball_season	132	0	0
professional_bowler	130	0	0
u.s._federal_court	129	0	0
ncaa_tournament_yearly	129	0	0
horse	128	0	0
tennis_player_season	128	0	0
american_indian_chief	127	1	0
tractor	127	0	0
mep	127	0	0
physical_quantity	126	0	0
aerial_lift_line	126	1	0
iwi	126	0	0
earthquakes_in_year	126	0	0
ncaa_basketball_rankings	125	0	0
hieroglyphs	124	1	1
united_states_congress	124	0	0
uk_postcode_area	124	0	0
australian_year	124	0	0
floorball_club	124	0	0
oilfield	123	0	0
professional_wrestling_championship	123	0	0
futurama_episode	123	0	0
twenty20_club_season	122	0	0
connector	121	0	0
engine	120	0	0
fossil	120	1	0
mtgset	120	0	0
sports_announcer_details	117	1	1
ncaa_football_rankings	117	0	0
rugby_world_cup	116	0	0
u.s._presidential_document	115	0	0
vg_series	115	0	0
sport_supporter_group	115	0	0
sports_announcer	115	1	0
lego_theme	113	0	0
tool	112	0	0
olympic_games	112	0	0
ski_jumping_hill	112	0	0
cardgame	111	0	0
launch_pad	111	1	0
papal_conclave	111	0	0
darts_tournament	111	0	0
fia_formula_2_race_report	111	0	0
peninsulas	110	0	0
national_water_polo_team	110	0	0
pepper	109	0	0
students_union	109	1	0
computer_virus	108	0	0
european_case	108	0	0
stanley_cup_final	108	0	0
australian_rules_football_grand_final	108	0	0
new_zealand_suburbs	108	0	0
tournament_season	107	0	0
nfl	107	0	0
astronomical_survey	106	0	0
calculator	106	0	0
archbishop_styles	106	0	0
upanishad	106	0	0
border	105	0	0
u.s._state_legislation	105	0	0
astronomical_event	105	0	0
ncaabasketballsinglegame	105	0	0
symbol	104	0	0
comic	104	0	0
first_lady	104	0	0
hot_spring	103	0	0
soap_character_2	103	0	0
manner_of_address	102	1	1
time_zone	102	0	0
film_award	102	0	0
us_supreme_court_case	101	0	0
airliner_accident	101	0	0
pig_breed	100	0	0
rugby_club_season	100	0	0
media	99	0	0
element/symbol-to-z	99	0	0
mlb_all-star_game	99	0	0
scotland_ward	99	0	0
catholic_apparition	98	1	0
pahistoric	98	1	0
director	98	0	0
surah	98	0	0
galaxy_cluster	97	0	0
hrhstyles	97	1	1
element/symbol-to-spectral-lines-image	97	0	0
emu	97	0	0
g.i._joe_character	97	0	0
ph_collegiate_finals	97	0	0
gaa_match	97	0	0
block_cipher	96	0	0
gpu	96	0	0
medical_details	96	1	1
six_nations_championship	96	0	0
laboratory_equipment	95	0	0
webcomic	95	0	0
plant_disease	95	0	0
magic:_the_gathering_player	95	1	0
fragrance	95	0	0
soccer_club_season	95	0	0
electronic_component	94	0	0
property_development	94	0	0
lcs	94	0	0
basketball_player	94	1	0
pigeonbreed	93	0	0
month	92	0	0
clothing_item	92	0	0
os_version	92	0	0
campground	92	1	0
thoroughbred_racehorse	92	0	0
international_softball_tournament	92	0	0
raga	91	0	0
boxingmatch	91	0	0
motorway_services	91	0	0
robot	90	0	0
constellation	89	0	0
baseball_hall_of_fame_ballot	89	0	0
mla	89	1	0
water_ride	89	0	0
world_rx_event_report	89	0	0
machine	88	0	0
nba_all-star_game	88	0	0
pageant	87	0	0
rugby_union_tour	87	0	0
judo_technique	86	0	0
farm	86	1	0
swimming_pool	86	0	0
nfl_single_game	86	0	0
vietnamese	85	1	1
goat_breed	85	0	0
whisky_distillery	85	0	0
cluster	85	0	0
pba_season_league	84	0	0
pba_season2	84	0	0
nbl_season	84	0	0
rock	83	0	0
rabbi	83	0	0
software_license	82	1	0
rail_network	82	0	0
knot	82	0	0
year_in_spaceflight	82	0	0
pool_tournament	82	0	0
tea	81	0	0
education	81	0	0
world_series_expanded	80	0	0
internet_exchange_point	80	0	0
baseball_game	80	0	0
people	80	1	0
bibliography	80	1	0
superfund	79	0	0
papal_document	79	0	0
handball_league_season	79	0	0
buddha	78	0	0
textile	78	0	0
chess_match	78	0	0
philippine_partylist_group	78	0	0
russian_federal_subject	77	1	0
olympic_sport	77	0	0
lymph	77	0	0
rugby_league_cup	77	0	0
cpu_architecture	76	0	0
space_agency	76	0	0
boat_race	76	0	0
network	76	0	0
water_supply_and_sanitation	76	0	0
international_floorball_competition	76	0	0
gp3_round_report	76	0	0
viceroy_styles	75	1	1
congressman	75	1	0
v8_supercar_record	75	0	0
bio	75	1	0
international_netball_competition	75	0	0
performing_art	74	0	0
comics_team_and_title	74	0	0
baseball_championship_series	74	0	0
hut	74	0	0
pro_bowl	74	0	0
new_zealand_electorate	74	0	0
individual_strongman_competition	74	0	0
advertising	73	0	0
parliamentary_group	73	0	0
song_contest_national_year/year	73	0	0
emblem_wide	72	1	1
highway_system	72	0	0
american_football_tournament_season	72	0	0
snooker_season	72	0	0
cryptocurrency	72	1	0
owl_season	72	0	0
vafa_season	72	0	0
political_division	71	1	0
women	71	0	0
debate	71	0	0
bus	71	0	0
sport_horse	71	0	0
shinty_club	71	0	0
victorian_football_season	71	0	0
european_cup_rugby_season	70	0	0
netball_team	70	0	0
drums_corps	70	0	0
indy500	70	0	0
ucr	69	1	1
athletics_event	69	0	0
bantu_name	69	1	1
recurring_sailing_competition	69	0	0
sport_club	69	0	0
basketball_final	69	0	0
particle	68	0	0
california_supreme_court_case	68	0	0
urban_development_project	68	0	0
themed_area	68	0	0
fabergé_egg	68	0	0
mpbl_season	68	0	0
fictional_vehicle	67	0	0
archbishop	67	1	0
pipe_band	67	0	0
martial_arts_tournament	67	0	0
philcollfinals	67	0	0
japan_series	67	0	0
motorsport_season	67	0	0
netball_team_season	67	0	0
tram	66	0	0
rugby_league_tour	66	0	0
car	65	0	0
ice_hockey_tournament_season	65	0	0
curling_club	65	0	0
cannabis_overview	65	0	0
military_rating	64	0	0
climbing_route	63	0	0
state_senator	63	1	0
gaelic_games_county_team	63	0	0
fia_formula_3_race_report	63	0	0
protocol	62	0	0
storage_medium	62	0	0
furniture	62	0	0
national_paralympic_committee	62	0	0
former_nascar_team	62	1	0
super_rugby_season	62	0	0
cvg_system	61	0	0
isotope	61	0	0
diamond	61	0	0
industrial_process	61	0	0
heraldry	61	0	0
khl_team	61	0	0
women_by_region	61	0	0
u.s._cabinet	60	1	1
bible_translation	60	0	0
beer	60	0	0
docks	60	0	0
interbank_network	60	0	0
rugby_league	60	0	0
squash_team	60	0	0
dependency	59	1	0
premiership	59	1	1
lunar_mare	59	0	0
koryu	59	0	0
canadianmp	59	0	0
genome	58	0	0
index	58	0	0
financial_index	58	0	0
fusion_devices	58	0	0
rdt	58	0	0
steam_tender	58	0	0
wintersport_world_cup	57	0	0
nhl_team	56	0	0
tv_advert	56	0	0
daytona_500	56	0	0
vfa_season	56	0	0
filesystem	55	0	0
animanga/audio	55	0	0
ferry_route	55	1	0
gaelic_games_county_board	55	0	0
buddhist_term	54	1	0
missions	54	0	0
pali_text	54	0	0
heat_event	54	0	0
baseball_player	54	0	0
human	54	0	0
early_american_football_team_season	54	0	0
wec_race	54	0	0
submarine_communications_cable	53	0	0
comics_species	53	0	0
room	53	0	0
u.s._congressional_committee	53	0	0
national_netball_team	53	0	0
v8_supercar_team	53	0	0
u.s._presidential_elections_by_state	53	0	0
space_program	52	0	0
essay	52	0	0
popestyles	52	0	0
sedimentary_basin	52	0	0
tectonic_plate	52	0	0
circus	52	1	0
rocket_launch	52	0	0
kana	52	0	0
ncaa_division_ii_season	52	0	0
chemical_analysis	51	0	0
piercing	51	0	0
united_states_code	51	0	0
basketball_tournament_at_games	51	0	0
crown	51	0	0
steam_wheel_arrangement	51	0	0
grand_lodge	51	0	0
uk_racecourse	51	0	0
law	51	0	0
lds_in_state	51	0	0
camogie_all-ireland	51	0	0
u.s._state	50	0	0
diving_equipment	50	0	0
super_bowl	50	0	0
cloud	50	0	0
professional_wrestling_team	50	0	0
transmitter	50	0	0
waka	50	0	0
rugby_match	50	0	0
darts_team	50	0	0
micronation	49	1	0
peninsula	49	0	0
research_project	49	0	0
photographer	49	1	0
disney_resort	49	0	0
transliteration	49	1	0
bandy_team	49	0	0
international_lacrosse_competition	49	0	0
kantar_rating	49	0	0
grand_national_assembly_of_turkey_electoral_district	49	0	0
halacha	48	0	0
malware	48	1	0
catbreed	48	0	0
americas_cup_yacht	48	0	0
hockey_league	48	0	0
swim_meet	48	0	0
state_of_origin_series	48	0	0
future_infrastructure_project	47	1	0
bug	47	0	0
rail_companies	47	0	0
martyrs	47	1	0
lds	47	0	0
sea_games_event	47	0	0
rally_raid	47	0	0
national_korfball_team	47	0	0
indic_letter	47	0	0
english_county	46	0	0
medical_intervention_(new)	46	0	0
musical_scale	46	0	0
cat_breed	46	0	0
grappling_hold	46	0	0
badminton_tournament	46	0	0
ortsteil_einer_gemeinde_in_deutschland	46	0	0
czech_senate_district	46	0	0
literary_genre	45	0	0
microanatomy	45	0	0
nuclear_reactor	45	0	0
mascot	45	0	0
olympic_torch_relay	45	0	0
nfl_game	45	0	0
softball_team	45	0	0
ncaa_division_i_women's_volleyball_tournament	45	0	0
ecumenical_council	44	0	0
material	44	0	0
comics_in_other_media	44	0	0
medal_templates	44	1	1
collection	44	0	0
bottled_water	44	0	0
london_ward	44	0	0
national_softball_team	44	0	0
universiade_sport	44	0	0
year_in_combat_sports	44	0	0
continent	43	0	0
f1_engine_manufacturer	43	0	0
tram_route	43	0	0
comedy_group	43	0	0
years_in_athletics	43	0	0
asian_games_sport	43	0	0
ncaa_softball_tournament	43	0	0
ncaa_football_tournament	43	0	0
ncaa_sports_season	43	0	0
birth_control	42	0	0
neuron	42	0	0
supernova	42	0	0
cycling_hill_climb	42	0	0
association	42	0	0
aqueduct_navigable	42	0	0
manhua	42	0	0
league_system	42	0	0
senator	42	0	0
olympic_athletics_event	42	0	0
ncaa_softball_season	42	0	0
indian_state_or_territory	41	0	0
pyramid	41	0	0
medical_specialty	41	0	0
diacritic	41	0	0
meteorite_subdivision	41	0	0
nonprofit	41	0	0
indy500_1911to1941	41	0	0
garden	41	0	0
civil_servant	41	1	0
asian_games_event	41	0	0
ncaa_division_i_ice_hockey_rankings	41	0	0
data_structure	40	0	0
interval	40	0	0
audio_drama	40	0	0
wot_detainees	40	0	0
house	40	0	0
artificial_fly	40	0	0
railroad	40	0	0
electionph	40	0	0
climax_series	40	0	0
gridiron_football_team	39	0	0
halftime_show	39	0	0
tibetan-chinese	39	1	0
swc_event	39	0	0
electricity_sector	38	0	0
dmu	38	0	0
vfl_season	38	0	0
anglican_province	38	0	0
basketball_team	38	0	0
swim_team	38	0	0
urban_development	38	1	0
desalination_plant	38	0	0
youth_olympic_sport	38	0	0
nfl_team	37	0	0
martial_art_group	37	0	0
national_rugby_union	37	0	0
wheelchair_tennis_player	37	0	0
sw_comics	37	0	0
ncaa_division_i_fbs_season	37	0	0
americas_cup_competition	37	0	0
ski_tour_report	37	0	0
national_lacrosse_team	37	0	0
naia_football_season	37	0	0
australian_ward	37	0	0
cabinet_members	36	1	1
distributed_computing_project	36	0	0
integer_sequence	36	0	0
individual_space_vehicle	36	0	0
graphics_processing_unit	36	0	0
tractate	36	0	0
marching_band	36	0	0
triathlete	36	0	0
donkey	36	0	0
philgenchamp	36	0	0
sports_match	36	0	0
paralympic_sport	36	0	0
phrase	35	0	0
place_geography	35	0	0
soil	35	0	0
chord	35	0	0
olympic_bid	35	0	0
international_ice_hockey_federation_nation	35	0	0
player_of_english_billiards	35	1	0
professional_wrestling_promotion	35	0	0
brazilian_carnival	35	0	0
curling_competition	35	0	0
motion	34	0	0
grandslamtournamentsdisciplines	34	0	0
nflchamp	34	0	0
impeachment_process	34	1	0
scotus_cjcourt	34	0	0
olive_cultivar	34	0	0
hockey_awards	34	0	0
squash_wsf_tournament	34	0	0
uksc_case	34	0	0
wnbl_team_season	34	0	0
alternative_medicine	33	0	0
film_movement	33	0	0
web_browser	33	0	0
meteor_shower	33	0	0
medical_equipment	33	0	0
certification_mark	33	0	0
gridiron_football_single_game	33	0	0
mosconi_cup	33	0	0
national_afl_team	33	0	0
world_netball_championship	33	0	0
pretender	32	1	0
us_cabinet	32	0	0
nycs_service	32	0	0
lottery	32	0	0
civilian_award	32	0	0
vg_online_service	32	0	0
administrative_divisions_of_china	32	0	0
international_american_football_tournament	32	0	0
sgp_season	32	0	0
distillery	32	0	0
albanian_place	32	0	0
belgian_bowl	32	0	0
f1_nationality	32	0	0
tcr_international_series_round_report	32	0	0
rugby_europe_international_championships	32	0	0
colour	31	0	0
punctuation_mark	31	0	0
gem	31	0	0
sea	31	0	0
probability_distribution	31	0	0
animal_breed	31	0	0
professional_wrestling_event_series	31	0	0
wtcc_race	31	0	0
uaap_team_season	31	0	0
paris_by_night	31	0	0
mlb	30	0	0
nsp	30	0	0
greyhound	30	0	0
oha_team	30	0	0
particle_accelerator	29	0	0
chipset	29	0	0
aqueduct	29	0	0
sorority	29	0	0
cable	29	0	0
square	29	0	0
a1_grand_prix_team	29	0	0
rugby_league_football_match_(quarters)	29	0	0
identifier	28	0	0
nc_name	28	1	0
bible_chapter	28	0	0
concept	28	0	0
stanley_cup_finals	28	0	0
vg_system	28	0	0
reactor	28	0	0
american_championship_car_season	28	0	0
file_system	27	0	0
battery	27	0	0
climbing_area	27	0	0
acquisition	27	0	0
watch	27	0	0
ncaa_basketball_game	27	0	0
java_version	27	0	0
naia_division_i_football_season	27	0	0
